playerID,playerName,team
11011,Smeb,KT
11012,Score,KT
11013,Ucal,KT
11014,Deft,KT
11015,Mata,KT
11021,Kiin,Afreeca
11022,Spirit,Afreeca
11023,kurO,Afreeca
11024,Aiming,Afreeca
11025,TusiN,Afreeca
11031,Sword,Griffin
11032,Tarzan,Griffin
11033,Chovy,Griffin
11034,Viper,Griffin
11035,Lehends,Griffin
11041,Khan,DRX
11042,Peanut,DRX
11043,BDD,DRX
11044,PraY,DRX
11045,GorillA,DRX
11051,CuVee,GenG
11052,Haru,GenG
11053,Fly,GenG
11054,Ruler,GenG
11055,CoreJJ,GenG
11061,Lindarang,Hanwha
11062,SeongHwan,Hanwha
11063,Lava,Hanwha
11064,Sangyoon,Hanwha
11065,Key,Hanwha
11071,Thal,T1
11072,blank,T1
11073,Pirean,T1
11074,Bang,T1
11075,Effort,T1
11081,SoHwan,JinAir
11082,Umti,JinAir
11083,Grace,JinAir
11084,Teddy,JinAir
11085,Nova,JinAir
11091,Add,MVP
11092,Yondu,MVP
11093,Ian,MVP
11094,Pilot,MVP
11095,Max,MVP
11101,Crazy,BBQ
11102,Trick,BBQ
11103,Tempt,BBQ
11104,Ghost,BBQ
11105,IgNar,BBQ
11026,Mowgli,Afreeca
11076,Faker,T1
11027,Kramer,Afreeca
11056,Ambition,GenG
11046,Cuzz,DRX
12011,Smeb,KT
12012,Score,KT
12013,BDD,KT
12014,Gango,KT
12015,SnowFlower,KT
12016,kingen,KT
12017,Umti,KT
12018,Zenit,KT
12021,Kiin,Afreeca
12022,Spirit,Afreeca
12023,Ucal,Afreeca
12024,Aiming,Afreeca
12025,Jelly,Afreeca
12031,Sword,Griffin
12032,Tarzan,Griffin
12033,Chovy,Griffin
12034,Viper,Griffin
12035,Lehends,Griffin
12041,Rascal,DRX
12042,Cuzz,DRX
12043,Pown,DRX
12044,Deft,DRX
12045,TusiN,DRX
12051,CuVee,GenG
12052,Peanut,GenG
12053,Fly,GenG
12054,Ruler,GenG
12055,Life,GenG
12061,Thal,Hanwha
12062,bono,Hanwha
12063,Lava,Hanwha
12064,Sangyoon,Hanwha
12065,Key,Hanwha
12066,SoHwan,Hanwha
12067,MooJin,Hanwha
12071,Khan,T1
12072,Clid,T1
12073,Faker,T1
12074,Teddy,T1
12075,Mata,T1
12076,Crazy,T1
12077,Haru,T1
12081,Lindarang,JinAir
12082,Malrang,JinAir
12083,Grace,JinAir
12084,Stitch,JinAir
12085,Nova,JinAir
12086,Route,JinAir
12087,Kellin,JinAir
12091,Nuguri,DWG KIA
12092,Canyon,DWG KIA
12093,ShowMaker,DWG KIA
12094,Nuclear,DWG KIA
12095,Hoit,DWG KIA
12101,Summit,Sandbox
12102,OnFleek,Sandbox
12103,Dove,Sandbox
12104,Ghost,Sandbox
12105,Joker,Sandbox
13021,Kiin,Afreeca
13022,Dread,Afreeca
13027,SSUN,Afreeca
13024,Aiming,Afreeca
13025,Jelly,Afreeca
13026,Spirit,Afreeca
13023,Ucal,Afreeca
13028,SSol,Afreeca
13029,Aiming,Afreeca
13091,Nuguri,DWG KIA
13092,Canyon,DWG KIA
13093,ShowMaker,DWG KIA
13094,Nuclear,DWG KIA
13095,Hoit,DWG KIA
13096,Flame,DWG KIA
13097,Punch,DWG KIA
13098,BeryL,DWG KIA
13051,CuVee,GenG
13052,Peanut,GenG
13054,Ruler,GenG
13055,Life,GenG
13056,Roach,GenG
13057,Fly,GenG
13058,SeongHwan,GenG
13053,Kuzan,GenG
13031,Sword,Griffin
13032,Tarzan,Griffin
13033,Chovy,Griffin
13034,Viper,Griffin
13035,Lehends,Griffin
13066,SoHwan,Hanwha
13063,Tempt,Hanwha
13064,Sangyoon,Hanwha
13065,Key,Hanwha
13061,Thal,Hanwha
13062,bono,Hanwha
13067,Lava,Hanwha
13081,Lindarang,JinAir
13082,Seize,JinAir
13083,Grace,JinAir
13084,Route,JinAir
13085,Nova,JinAir
13086,TaNa,JinAir
13087,Malrang,JinAir
13088,CheonGo,JinAir
13089,Kellin,JinAir
13041,Rascal,DRX
13042,Cuzz,DRX
13044,Deft,DRX
13045,TusiN,DRX
13043,Naehyun ,DRX
13011,Smeb,KT
13017,Umti,KT
13013,BDD,KT
13019,Zenit,KT
13015,SnowFlower,KT
13016,kingen,KT
13012,Score,KT
13018,Gango,KT
13014,PraY,KT
13101,Summit,Sandbox
13102,OnFleek,Sandbox
13103,Dove,Sandbox
13104,Ghost,Sandbox
13105,Joker,Sandbox
13106,Crush,Sandbox
13071,Khan,T1
13072,Clid,T1
13073,Faker,T1
13074,Teddy,T1
13075,Mata,T1
20001,Khan,T1
20002,Clid,T1
20003,Faker,T1
20004,Teddy,T1
20005,Mata,T1
20101,Summit,Sandbox
20102,Rascal,DRX
20103,Canyon,DWG KIA
20104,Dread,Afreeca
20105,Chovy,Griffin
20106,Dove,Sandbox
20107,BDD,KT
20108,Aiming,Afreeca
20109,Ruler,GenG
20110,TusiN,DRX
20111,Lehends,Griffin
20201,Khan,T1
20202,Clid,T1
20203,Faker,T1
20204,Teddy,T1
20205,Mata,T1
20206,Sword,Griffin
20207,Tarzan,Griffin
20208,Chovy,Griffin
20209,Viper,Griffin
20210,Lehends,Griffin
20211,Nuguri,DWG KIA
20212,Canyon,DWG KIA
20213,ShowMaker,DWG KIA
20214,Nuclear,DWG KIA
20215,BeryL,DWG KIA
20216,MaRin,T1
20217,Bengi,T1
20218,Faker,T1
20219,Bang,T1
20220,Wolf,T1
20221,Easyhoon,T1
20300,Score,KT
20301,Pown,DRX
30000,Canyon,DWG KIA
20302,Wolf,T1
20303,Mata,T1
10001,Kiin,Afreeca
10002,Spirit,Afreeca
10003,Fly,Afreeca
10004,Mystic,Afreeca
10005,Jelly,Afreeca
10006,Dread,Afreeca
10007,ALL-IN,Afreeca
10008,SS,Afreeca
10011,Ikssu,Prince
10012,Flawless,Prince
10013,Keine,Prince
10014,HyBrid,Prince
10015,Secret,Prince
10016,Trigger,Prince
10021,Nuguri,DWG KIA
10022,Canyon,DWG KIA
10023,ShowMaker,DWG KIA
10024,Nuclear,DWG KIA
10025,Hoit,DWG KIA
10026,BeryL,DWG KIA
